ㄅㄚㄍㄨㄚˋㄓㄣˋ	八卦陣	0
ㄅㄚㄍㄨㄚˋㄓㄤˇ	八卦掌	0
ㄅㄚㄍㄨㄚˋㄕㄢ	八卦山	13
ㄅㄚㄍㄨㄛˊ	八國	21
ㄅㄚㄍㄨㄛˊㄌㄧㄢˊㄐㄩㄣ	八國聯軍	9
ㄅㄚㄍㄨㄢ	八關	1
ㄅㄚㄍㄨㄢˋ	八罐	0
ㄅㄚㄎㄜ	八棵	0
ㄅㄚㄎㄜ	八科	1
ㄅㄚㄎㄜ	八顆	4
ㄅㄚㄎㄜˋ	八克	2
ㄅㄚㄎㄜˋ	八客	0
ㄅㄚㄎㄜˋ	八課	0
ㄅㄚㄎㄞ	八開	0
ㄅㄚㄎㄞㄅㄣˇ	八開本	0
ㄅㄚㄎㄨˋ	巴庫	0
ㄅㄚㄎㄨㄋㄧㄥˊ	巴枯寧	0
ㄅㄚㄎㄨㄞˋ	八塊	8
ㄅㄚㄎㄨㄞˋㄑㄧㄢˊ	八塊錢	3
ㄅㄚㄏㄚ	巴哈	57
ㄅㄚㄏㄚㄇㄚˇ	巴哈馬	3
ㄅㄚㄏㄚㄇㄚˇㄑㄩㄣˊㄉㄠˇ	巴哈馬群島	1
ㄅㄚㄏㄚㄇㄨˇㄊㄜˋ	巴哈姆特	1
ㄅㄚㄏㄜˊ	八盒	0
ㄅㄚㄏㄜˋ	巴赫	7
ㄅㄚㄏㄠˋ	八號	182
ㄅㄚㄏㄠˋㄈㄣㄐㄧ	八號分機	3
ㄅㄚㄏㄣˊ	疤痕	29
ㄅㄚㄏㄤˊㄕㄨ	八行書	0
ㄅㄚㄏㄨˋ	八戶	7
ㄅㄚㄐㄧˊ	八級	4
ㄅㄚㄐㄧˊ	八集	10
ㄅㄚㄐㄧˊㄑㄩㄢˊ	八極拳	0
ㄅㄚㄐㄧˋ	八季	2
ㄅㄚㄐㄧㄙㄊㄢˇ	巴基斯坦	96
ㄅㄚㄐㄧㄙㄊㄢˇㄖㄣˊ	巴基斯坦人	1
ㄅㄚㄐㄧㄚ	八家	24
ㄅㄚㄐㄧㄚㄐㄧㄡˇ	八加九	19
ㄅㄚㄐㄧㄚㄐㄧㄤˋ	八家將	4
ㄅㄚㄐㄧㄝ	八街	0
ㄅㄚㄐㄧㄝˊ	八截	0
ㄅㄚㄐㄧㄝˊ	八節	8
ㄅㄚㄐㄧㄝˊ	巴結	20
ㄅㄚㄐㄧㄝˋ	八屆	19
ㄅㄚㄐㄧㄝˋ	八戒	9
ㄅㄚㄐㄧㄠ	芭蕉	29
ㄅㄚㄐㄧㄠˇ	八腳	6
ㄅㄚㄐㄧㄠˇ	八角	29
ㄅㄚㄐㄧㄠˇㄏㄨㄟˊㄒㄧㄤ	八角茴香	0
ㄅㄚㄐㄧㄠˇㄑㄧㄢˊ	八角錢	0
ㄅㄚㄐㄧㄠˇㄒㄧㄥˊ	八角形	2
ㄅㄚㄐㄧㄠㄕㄢˋ	芭蕉扇	9
ㄅㄚㄐㄧㄡˇ	八九	210
ㄅㄚㄐㄧㄡˇㄅㄨˋㄌㄧˊㄕˊ	八九不離十	5
ㄅㄚㄐㄧㄡˇㄇㄧㄣˊㄩㄣˋ	八九民運	1
ㄅㄚㄐㄧㄡˇㄋㄧㄢˊ	八九年	87
ㄅㄚㄐㄧㄡˇㄑㄧㄢ	八九千	1
ㄅㄚㄐㄧㄡˇㄒㄩㄝˊㄔㄠˊ	八九學潮	0
ㄅㄚㄐㄧㄡˇㄒㄩㄝˊㄩㄣˋ	八九學運	1
ㄅㄚㄐㄧㄡˇㄕˊ	八九十	4
